category,label,agent,text,text_coref,segmentation,episode,podcast,pod_cat,language,ClaimBuster,ClaimBuster COREF,Motivation,ClaimSpan
Checkworthy,Factual Descriptions,Adam,You know the one with the big eyes that's always running around with the nut that he carries around?,You know the one with the big eyes that's always running around with the nut that the squirrel from Ice Age carries around?,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.024468103,0.025395699,Learn More,"[{""start"":9,""end"":99}]"
Not Checkworthy,Emotions and Opinions,Adam,He's kind of like half that.,a special guest's kind of like half the squirrel from Ice Age.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.185956267,0.202601063,,
Checkworthy,Factual Descriptions,Adam,"And then if you are familiar, if you have kids and you know the movie, Lilo and Stitch, he is Stitch, kind of crazy, also big eyes, kind of a big head, big ears.","And then if you are familiar, if you have kids and you know the movie, Lilo and Stitch, a special guest is Stitch, kind of crazy, also big eyes, kind of a big head, big ears.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.052983763,0.056893828,Learn More,"[{""start"":94,""end"":161}]"
Not Checkworthy,Emotions and Opinions,Adam,So he's quite the character.,So a special guest's quite the character.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.140954132,0.115901224,,
Checkworthy,Factual Descriptions,Adam,And what's interesting is that animals really have always lived with humans.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.034982864,,Confirm True,"[{""start"":31,""end"":75}]"
Checkworthy,Factual Descriptions,Adam,"Up until this really industrialized age, we've always cohabitated because we've relied on animals for...",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.231351418,,Confirm True,"[{""start"":0,""end"":104}]"
Not Checkworthy,Not a Claim,Adam,"Yeah, Bodhi.","Yeah, a special guest.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.183447081,0.156758999,,
Not Checkworthy,Not a Claim,Adam,Okay.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.169104545,,,
Not Checkworthy,Emotions and Opinions,Adam,He's so excited to be here.,a special guest's so excited to be here.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.090598075,0.078036461,,
Not Checkworthy,Emotions and Opinions,Adam,I'm glad he finally spoke up.,I'm glad a special guest finally spoke up.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.037321619,0.052735768,,
Not Checkworthy,Emotions and Opinions,Adam,He's a little shy.,a special guest's a little shy.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.145071709,0.11061737,,
Not Checkworthy,Personal Experience,Adam,But we've always grown up with animals because animals have been a part of how we live.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.037839085,,,
Checkworthy,Factual Descriptions,Adam,"We utilize them for food, we utilize them to help manage crops, to ultimately regenerate our soil.","We utilize animals for food, we utilize animals to help manage crops, to ultimately regenerate our soil.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.053786134,0.045592311,Confirm True,"[{""start"":0,""end"":98}]"
Checkworthy,Factual Descriptions,Adam,"There's so many purposes for animals beyond just their companionship, which is a great benefit to our health too.","There's so many purposes for animals beyond just animals's companionship, which is a great benefit to our health too.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.028092176,0.029838305,Confirm True,"[{""start"":0,""end"":113}]"
Checkworthy,Cause and Effect,Adam,But what I want to focus on is how pets can influence your microbiome because they bring so much to the table.,But what I want to focus on is how pets can influence your microbiome because pets bring so much to the table.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.035713447,0.034733571,Learn More,"[{""start"":35,""end"":69}]"
Checkworthy,Factual Descriptions,Adam,"If you think about our animals, they're actually out making contact with the dirt and the soil and they're bringing that into our house.","If you think about our animals, our animals're actually out making contact with the dirt and the soil and our animals're bringing the dirt and the soil into our house.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.166088712,0.062452727,Confirm True,"[{""start"":0,""end"":136}]"
Checkworthy,Factual Descriptions,Adam,"So animals are bringing things in from the outdoors, things that we normally wouldn't be probably exposed to.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.257963992,,Confirm True,"[{""start"":0,""end"":109}]"
Checkworthy,Factual Descriptions,Adam,Most of us aren't running around our yard and putting our hands in the dirt.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.137939608,,Precision,"[{""start"":0,""end"":76}]"
Not Checkworthy,Personal Experience,Adam,We're not really even grounding.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.250514388,,,
Checkworthy,Factual Descriptions,Adam,We're just inside these sterile environments.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.173900187,,Confirm True,"[{""start"":0,""end"":45}]"
Checkworthy,Factual Descriptions,Adam,We're not getting access to nature.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.075595577,,Learn More,
Checkworthy,Cause and Effect,Adam,And animals actually bring a lot of that into our homes.,And animals actually bring a lot of nature into our homes.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.143486361,0.038784712,Learn More,
Checkworthy,Factual Descriptions,Adam,But a lot of the studies that have been done on the influence of dogs on our health really relate to children.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.123386048,,Learn More,"[{""start"":4,""end"":110}]"
Checkworthy,Cause and Effect,Adam,"And I found this so fascinating because there are a lot of people that maybe have kids and they also have pets or maybe think that, hey, the pets might be a problem for my child.","And I found this so fascinating because there are a lot of people that maybe have kids and they also have pets or maybe think that, hey, pets might be a problem for my child.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.044151306,0.045806723,Learn More,"[{""start"":141,""end"":178}]"
Not Checkworthy,Not a Claim,Adam,What if my dog gets my child sick?,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.04977502,,,
Not Checkworthy,Not a Claim,Adam,What if my cat gets my child sick?,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.051056452,,,
Checkworthy,Factual Descriptions,Adam,"And yes, you're exactly right to have concern because animals do have the ability to carry parasites and worms and things like that.","And yes, you're exactly right to have concern because animals do have the ability to carry parasites and worms and things like parasites and worms.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.102982541,0.086734471,Confirm True,
Checkworthy,Factual Descriptions,Adam,But what you've got to realize too is that they bring a lot of microbial diversity.,But what you've got to realize too is that animals bring a lot of microbial diversity.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.049514853,0.034724735,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,And that's something that your child can share from.,And a lot of microbial diversity's something that your child can share from.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.030417422,0.057592794,,
Checkworthy,Factual Descriptions,Adam,"Because in those early years, the first years, we're talking from infancy and birth all the way up to the first two and three years, their microbiome is heavily influenced by the environment that they're raised in.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.246070607,,Confirm True,
Not Checkworthy,Not a Claim,Adam,"This might be something to consider, especially if maybe you're starting a family, maybe you have children, maybe you have a spouse that doesn't love animals.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.040496792,,,
Not Checkworthy,Personal Experience,Adam,"I'm not going to say that Bodhi is unloved in this house, but I can tell you that he has more love from some of us than he does others.","I'm not going to say that a special guest is unloved in this house, but I can tell you that a special guest has more love from some of us than a special guest does others.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.093368169,0.077137401,,
Not Checkworthy,Personal Experience,Adam,"He's also, okay, just a side note, Bodhi is like one and a half years old.","a special guest's also, okay, just a side note, a special guest is like one and a half years old.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.307478978,0.135619105,,
Not Checkworthy,Personal Experience,Adam,He's completely untrained.,a special guest's completely untrained.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.262309854,0.355718798,,
Not Checkworthy,Personal Experience,Adam,"He doesn't know a single command, and he pretty much does whatever he wants.","a special guest doesn't know a single command, and a special guest pretty much does whatever a special guest wants.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.145257715,0.080110069,,
Not Checkworthy,Emotions and Opinions,Adam,So I'm okay with it.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.204966295,,,
Not Checkworthy,Emotions and Opinions,Adam,I have all the love in the world for him.,I have all the love in the world for Bodhi.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.047252004,0.062412057,,
Not Checkworthy,Personal Experience,Adam,He's like my sidekick.,Bodhi's like my sidekick.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.095425118,0.11480767,,
Not Checkworthy,Personal Experience,Adam,"However, not everybody feels the same way about Bodhi, including other family members.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.102531531,,,
Not Checkworthy,Personal Experience,Adam,"He gets love from me, but I feel like that's enough.","Bodhi gets love from me, but I feel like that's enough.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.075896161,0.101103587,,
Not Checkworthy,Personal Experience,Adam,And he and I have a very strong bond and relationship.,And Bodhi and I have a very strong bond and relationship.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.063115585,0.09471726,,
Not Checkworthy,Emotions and Opinions,Adam,"So all right, Bodhi, do you feel good about that?","So all right, Bodhi, do Bodhi feel good about that?",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.059192545,0.091106382,,
Checkworthy,Factual Descriptions,Adam,"So when we're talking about infants and babies, the microbial composition is shaped by a number of factors.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.159675486,,Learn More,"[{""start"":0,""end"":107}]"
Checkworthy,Cause and Effect,Adam,"So if you think about, are they breastfed or are they formula fed?","So if you think about, are infants and babies breastfed or are infants and babies formula fed?",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.08376367,0.044896629,Learn More,"[{""start"":23,""end"":66}]"
Checkworthy,Cause and Effect,Adam,"And that includes gestational age, the type of delivery that they had, so whether they were born vaginally or cesarean, and then the type of diet.","And a number of factors includes gestational age, the type of delivery that infants and babies had, so whether infants and babies were born vaginally or cesarean, and then the type of diet.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.1124733,0.087083479,Learn More,"[{""start"":0,""end"":146}]"
Checkworthy,Cause and Effect,Adam,"And even if they've been exposed to antibiotics, because we have a number of children and they get sick in those first few months of life, and all of a sudden it's one antibiotic after another, which is just wiping out their gut microbiome.","And even if infants and babies've been exposed to antibiotics, because we have a number of children and children get sick in those first few months of life, and all of a sudden it's one antibiotic after another, which is just wiping out children's gut microbiome.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.479922063,0.491178138,Confirm True,"[{""start"":9,""end"":240}]"
Checkworthy,Factual Descriptions,Adam,So microbial composition in infants is actually very low in terms of diversity.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.758861569,,Learn More,"[{""start"":3,""end"":79}]"
Checkworthy,Cause and Effect,Adam,"So it's so critical in those first few months that they get flooded with these good bacteria, these good microbes to help build some resiliency because their immune system depends on it.","So it's so critical in those first few months of life that infants get flooded with these good bacteria, these good microbes to help build some resiliency because infants's immune system depends on it.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.218035524,0.082677964,Learn More,"[{""start"":0,""end"":186}]"
Checkworthy,Factual Descriptions,Adam,"And even beyond that, their brain health, their hormones, like all of these things are the linchpin is their gut.","And even beyond that, infants's brain health, infants's hormones, like all of these things are the linchpin is infants's gut.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.130026112,0.205987965,Precision,"[{""start"":0,""end"":113}]"
Checkworthy,Quotation,Adam,"I mean, Hippocrates says all disease begins in the gut.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.300413748,,Learn More,"[{""start"":8,""end"":55}]"
Not Checkworthy,Emotions and Opinions,Adam,And that's so true because it is the cornerstone element.,And that's so true because the gut is the cornerstone element.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.145799705,0.094218021,,
Checkworthy,Cause and Effect,Adam,"If your gut health is not intact, if your gut health is not resilient and strong, you are going to suffer in so many downstream ways.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.090310665,,Confirm True,"[{""start"":0,""end"":133}]"
Checkworthy,Factual Descriptions,Adam,So there was this thing called the hygiene hypothesis.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.253061311,,Learn More,"[{""start"":0,""end"":54}]"
Checkworthy,Factual Descriptions,Adam,This was first brought up in the late like 1980s.,this thing called the hygiene hypothesis was first brought up in the late like 1980s.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.562830431,0.511009085,Learn More,
Checkworthy,Factual Descriptions,Adam,"And there were a bunch of epidemiological studies that were done that attribute the risk of allergic disease to overly hygienic environments, which this makes sense, right?",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.465659917,,Learn More,"[{""start"":4,""end"":140}]"
Checkworthy,Factual Descriptions,Adam,"If you think about any newborn child being brought into a home, they're not going outside.","If you think about any newborn child being brought into a home, any newborn child're not going outside.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.060332094,0.08910175,Precision,"[{""start"":19,""end"":89}]"
Checkworthy,Factual Descriptions,Adam,They're not getting exposed to a lot of different things in the environment.,any newborn child're not getting exposed to a lot of different things in the environment.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.149006687,0.102406095,Precision,"[{""start"":0,""end"":76}]"
Checkworthy,Factual Descriptions,Adam,And our homes have become increasingly sterilized.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.687351457,,Confirm True,"[{""start"":4,""end"":50}]"
Not Checkworthy,Emotions and Opinions,Adam,We have all these cleaning chemicals.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.447148073,,,
Checkworthy,Factual Descriptions,Adam,"We have chemicals that are on our furniture, that are in the paint on the walls.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.325015514,,Confirm True,"[{""start"":0,""end"":80}]"
Checkworthy,Factual Descriptions,Adam,"All of these things contribute to toxins, which toxins can modulate.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.161103663,,Precision,"[{""start"":0,""end"":68}]"
Checkworthy,Cause and Effect,Adam,Toxins can change the microbiome.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.144764326,,Learn More,"[{""start"":0,""end"":33}]"
Checkworthy,Factual Descriptions,Adam,So this hygiene hypothesis was first proposed in the late 1980s.,So this thing called the hygiene hypothesis was first proposed in the late like 1980s.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.538681071,0.560619745,Learn More,"[{""start"":3,""end"":64}]"
Checkworthy,Factual Descriptions,Adam,"And the idea is that as we become more sterilized in our homes and in our just overall environment, the risk of disease has actually increased.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.720632421,,Learn More,"[{""start"":4,""end"":143}]"
Checkworthy,Cause and Effect,Adam,There's further evidence that gut microbial dysbiosis during infancy is associated with the development of allergic disease specifically.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.273128259,,Learn More,"[{""start"":0,""end"":137}]"
Checkworthy,Factual Descriptions,Adam,"And this is really because after a child is born, a lot of times they are exposed to nothing but just the inside of their homes, right?","And this is really because after a child is born, a lot of times a child are exposed to nothing but just the inside of a child's homes, right?",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.102961134,0.104292402,Precision,"[{""start"":4,""end"":127}]"
Checkworthy,Factual Descriptions,Adam,"Because a lot of infants, I mean, granted, mom might be outside taking her baby for a walk, but for the most part, they are only exposed to the things that are indoors.","Because a lot of infants, I mean, granted, mom might be outside taking mom's baby for a walk, but for the most part, a lot of infants are only exposed to the things that are indoors.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.079593821,0.075897496,Learn More,"[{""start"":92,""end"":168}]"
Checkworthy,Factual Descriptions,Adam,"And our indoor living environment has been proved to be far more toxic, including the air that we're breathing, right?",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.596654729,,Learn More,"[{""start"":0,""end"":110}]"
Checkworthy,Factual Descriptions,Adam,"Because of all the off-gassing, so many different things that are in our homes.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.257656681,,Precision,"[{""start"":0,""end"":79}]"
Checkworthy,Cause and Effect,Adam,"On top of that, we have all of these different cleaning agents, these cleaning chemicals that are disrupting a lot of flora inside our homes.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.153072724,,Learn More,
Checkworthy,Factual Descriptions,Adam,"So despite rapid microbial colonization of the gut after birth, environmental microbes in the early postnatal period represent a critical exposure for early life immune programming.",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.288250378,,Learn More,
Checkworthy,Cause and Effect,Adam,And we find that this can have long-term consequences.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.074919298,,Surprising,
Not Checkworthy,Not a Claim,Adam,So I'm going to go through a couple of studies because I found these really interesting.,So I'm going to go through a couple of studies because I found a couple of studies really interesting.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.085714253,0.094963473,,
Checkworthy,Numerical Claims,Adam,"They did a pooled analysis of about 7,000 households that documented dog ownership during the first two years of life and found that there was reduced sensitization to allergens in early childhood.","a couple of studies did a pooled analysis of about 7,000 households that documented dog ownership during the first two years of life and found that there was reduced sensitization to allergens in early childhood.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.959688551,0.966329939,Surprising,
Not Checkworthy,Emotions and Opinions,Adam,"So this is really interesting, right?",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.079270495,,,
Checkworthy,Cause and Effect,Adam,"7,000 households were polled, but they found that in the first two years of life, there was a strong correlation for a reduction of allergies.","7,000 households were polled, but a couple of studies found that in the first two years of life, there was a strong correlation for a reduction of allergies.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.961864283,0.958376757,Surprising,
Checkworthy,Numerical Claims,Adam,"Now I want to point this out because there are so many children, there's even a lot of adults, right?",,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.119628728,,Confirm True,
Checkworthy,Numerical Claims,Adam,That deal with allergies.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.225540186,,Confirm True,
Checkworthy,Factual Descriptions,Adam,"Allergies, that's not an allergen or an antigen problem.","Allergies, Allergies's not an allergen or an antigen problem.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.154293693,0.237589479,Precision,
Checkworthy,Factual Descriptions,Adam,So it's not a pollen problem.,So Allergies's not a pollen problem.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.201072511,0.33220228,Precision,
Checkworthy,Cause and Effect,Adam,It's not tree leaves that are getting dried up and falling down.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.330252053,,Precision,
Checkworthy,Cause and Effect,Adam,It's not a problem of the environment.,Allergies's not a problem of the environment.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.137450814,0.133264466,Precision,
Checkworthy,Cause and Effect,Adam,It's a dysregulation of our immune system.,Allergies's a dysregulation of our immune system.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.218127122,0.237799269,Precision,
Checkworthy,Factual Descriptions,Adam,That is an immune system problem.,Allergies is an immune system problem.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.189956272,0.258674331,Precision,
Not Checkworthy,Emotions and Opinions,Adam,So we've got to be able to address it because a lot of times we're always just looking to...,So we've got to be able to address Allergies because a lot of times we're always just looking to...,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.023108574,0.027275744,,
Not Checkworthy,Personal Experience,Adam,Bodhi is really getting into this now.,So we've got to be able to address Allergies because a lot of times we're always just looking to... Bodhi is really getting into this now.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.205483126,0.049828215,,
