podcast,episode,diarization,survey,agent,finished
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": ""Jon Favreau"", ""SPEAKER_02"": ""Jon Lovett"", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",5beec40b1e36530001609d2e,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",5e93825b69f077000b898a28,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": ""Jon Favreau"", ""SPEAKER_02"": ""Jon Lovett"", ""SPEAKER_10"": ""Tommy Vitor"", ""SPEAKER_07"": ""Jon Favreau"", ""SPEAKER_09"": ""Matt Gaetz"", ""SPEAKER_00"": ""Dick Durbin"", ""SPEAKER_01"": ""Nish Kumar"", ""SPEAKER_04"": ""Unknown"", ""SPEAKER_03"": ""Donald Trump"", ""SPEAKER_08"": ""Ron Desantis"", ""SPEAKER_05"": ""Jake Tapper""}","{""political"": null, ""feedback"": ""Took longer than mentioned. ""}",62b0e8841b9e4f974007ca98,1
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",58e9538908dc910001901f6b,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": ""Jon Favreau"", ""SPEAKER_02"": ""Jon Lovett"", ""SPEAKER_10"": ""Tommy Vietor"", ""SPEAKER_07"": ""Tommy Vietor"", ""SPEAKER_09"": ""Matt Gaetz"", ""SPEAKER_00"": ""Jon Favreau"", ""SPEAKER_01"": ""Nish Kumar"", ""SPEAKER_04"": ""Roberta Kaplan"", ""SPEAKER_03"": ""Donald Trump"", ""SPEAKER_08"": ""Ron DeSantis"", ""SPEAKER_05"": ""UNKNOWN""}","{""political"": null, ""feedback"": ""Jeepers creepers this took a long time. These guys have been on my todo\nlist for new podcasts to try out, and so I justified the length. It\nwould be wicked cool to have the option to select the podcast prior to\nthe task. Just a thought if you expand the task beyond the pilot stage.\n\n\nI was surprised by how well the interface could cycle through the entire\n1000 sections. I liked the simple design, but the lack of some features\nreally made the task way more difficult than I anticipated.\n\nFeedback and suggestions are listed below. That is all I have for now.\nThanks for the HIT and good luck with the research!\n\nIssues\n------\n\nThe text input area should not listen for navigation keys. This way you\ncan use shortcut combos for previous word delete and text select with\nshift/alt/ctrl + backspace/arrow keys.\n\n\nThere is no way to navigate the cursor in the text box. If you press \nleft/right, the player navigates to the next audio section. \n\n\nThere is no way to focus the text edit section except for clicking. It\nwould extremely helpful to have a way to switch to edit mode and focus\nthe cursor inside the text box.\n\nRequests\n--------\n\n## Shortcut Requests ##\n\n- Playback Speed++\n- Playback Speed--\n- Goto Snippet # \n- Edit Snippet\n- Save Snippet\n- Play\n- Pause\n- Global search\n\n## Feature Requests ##\n\n#1# Find and Replace: \nHelpful to handle global transcription errors\nExample: \""Pod Save the UK\"" spelled as \""Podsai go the UK\"" in all instances. \n- Regex patterns preferred\n\n#2# Goto Snippet Number:\nDirect navigation rather than clicking through the entire consecutive list. \nHelpful when reviewing the submission for quick access to missed sections. \n\n#3# Loop Snippet:\nIt is not helpful if the audio plays beyond the duration limits of the text annotations. \nHelpful to limit the scope of playback to +1s beyond the timestamps of the snippet. \n\n#4# Text Highlighting:\nLess important, but still helpful.\nA simple pattern like \""([[:alpha:][:blank:],-]+\\b)\\1\"" could identify and highlight repeated words.\nExample: well, well, \n""}",5d453e8723a5bb0001492546,1
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}",,63fcefec094f31b9a70bc2c0,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",James,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",Kimberly,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}",,62dc6fd89dd8473b3671357e,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": ""Jon Favreau"", ""SPEAKER_02"": ""Jon Lovett"", ""SPEAKER_10"": ""Tommy Vitor"", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",5bb09ecf6322c50001584d36,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",6117045a1f34c370a1b8066d,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": ""Jon Favreau"", ""SPEAKER_02"": ""Jon Lovett"", ""SPEAKER_10"": ""tt, Tommy Vitor"", ""SPEAKER_07"": ""Unsure"", ""SPEAKER_09"": ""Interviewer"", ""SPEAKER_00"": ""Dick Durbin"", ""SPEAKER_01"": ""Nish Kumar'm"", ""SPEAKER_04"": ""Attorney"", ""SPEAKER_03"": ""Donald Trump"", ""SPEAKER_08"": ""Ron DeSantis"", ""SPEAKER_05"": ""Jake Tapper""}","{""political"": null}",64018f4d1a16dfe2b0f7c552,1
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": ""Jon Favreau"", ""SPEAKER_02"": ""Jon Lovett"", ""SPEAKER_10"": ""Tommy Vitor"", ""SPEAKER_07"": ""UNKNOWN"", ""SPEAKER_09"": ""Matt Gaetz"", ""SPEAKER_00"": ""Dick Durbin"", ""SPEAKER_01"": ""Nish Kumar"", ""SPEAKER_04"": ""E. Jean Carroll's attorney"", ""SPEAKER_03"": ""Donald Trump"", ""SPEAKER_08"": ""Ron DeSantis"", ""SPEAKER_05"": ""Jake Tapper""}","{""political"": null, ""feedback"": ""This was absurdly long and even if the maximum time limit in Prolific was doubled, it may still be too short to complete it, let alone get fair pay for it. I had already invested too much time and effort into it when I had done the math and figured out that was the case, and returning it or letting the time expire would only send it back to the queue for someone else to have the same experience, so I decided to spend 5 and a half hours completing it. This definitely needs to be re-timed taking into account that the cuts of the dialogues aren't perfectly timed, so often we have to listen to the previous clip in its entirety to properly hear the first word of the current clip as well as time it takes to listen multiple times when there are words that are wrong and the time it takes to correct the transcription, to go back and fix mistakes on previous pages if something was missed or new information gives new context to something previously heard, and to ensure that nobody rushes through it and makes mistakes or messy work along the way. Transcription work should be expensive because it is hard work that takes much, much longer than the duration of the actual audio, and it also takes a keen ear and skill in English grammatical structure and spelling. I also kept worrying that an error or crash might erase all of my progress as I have no idea whether this was saving my work along the way. ""}",59dc458f77860e000151240e,1
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}",,63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}",,63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}",,63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",56b3c3692bac74000d89e253,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": ""Jon Favreau Bob Vander Plaats"", ""SPEAKER_04"": ""Ron DeSantis? Mike Flynn' "", ""SPEAKER_03"": ""John Lovett"", ""SPEAKER_00"": ""John"", ""SPEAKER_02"": ""Tommy Vitor"", ""SPEAKER_01"": ""Jon Levin""}","{""political"": null}",5e378948cd9d1670b2b86a51,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": ""Jon Favreau, Jon Levin"", ""SPEAKER_04"": ""Unable to determine?"", ""SPEAKER_03"": ""Tommy Vitor"", ""SPEAKER_00"": ""Anderson Clayton"", ""SPEAKER_02"": ""James comer, Maria Bartiromo"", ""SPEAKER_01"": ""Donald Trump""}","{""political"": null, ""attention"": [149, 488, 503, 686, 357], ""feedback"": ""The timeframe to complete this project was definitely not enough for me as it takes a significant amount of time to transcribe every sentence in a hour-long podcast. I hope I can still be compensated for completing this project, even though I did not complete it in the timeframe I was allotted on prolific. Thank you very much!""}",5f469dcf5fcb5d0355771013,1
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": ""Jon Favreau"", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_00"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",62c71e41af2bc57590b548e8,0
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": ""Jon Favreau"", ""SPEAKER_04"": ""Jon Levin"", ""SPEAKER_03"": ""Tommy Vitor"", ""SPEAKER_00"": ""Anderson Clayton"", ""SPEAKER_02"": ""Maria Bartiromo"", ""SPEAKER_01"": ""Donald Trump""}","{""political"": null}",613d6de8392f0477cf536c67,1
Pod Save America,Trump’s Surprise Q-chella Set,"{""SPEAKER_05"": ""Jon Favreau"", ""SPEAKER_04"": ""Jon Lovett"", ""SPEAKER_03"": ""Tommy Vietor"", ""SPEAKER_00"": ""Anderson Clayton"", ""SPEAKER_02"": ""James Comer"", ""SPEAKER_01"": ""Donald Trump""}","{""political"": null, ""attention"": [212, 437, 845, 854], ""feedback"": ""I love this study type. I was able to participate in an earlier Pilot Program, and I enjoy verifying these automatic transcriptions. My only struggle with completing this study was that I didn't find any directions for how to handle the attention checks at Sentences 213, 438, 846, and 855. I wasn't sure whether I was intended to transcribe them or not. There weren't any attention checks in the previous Pilot study I completed, and this version of the study doesn't appear to contain instructions for how to process them as they come up. For this reason, I decided to label the transcription at those 4 sentences as \""Unsure\"", because I was unclear as to whether I was supposed to somehow find the original audio somewhere in the audio player (which would be inconvenient, if so, it's very difficult to listen to the original audio without hearing the \""This is an attention check\"" audio) or whether I was intended to only transcribe what I heard, in which case the expectation would be that I Edit the transcription to read \""This is an attention check\"". I wasn't sure what to do there. Once that's corrected, I would love to continue to participate in the future. I understand the process of development can be very, very tricky and deceptively difficult to find errors, so I hope my feedback helps! Again, long ago, I have done some very poorly-paying transcription work, and this seems like a much better way to handle the process of transcription. I love how this study uses AI to speed up the manual process of transcription while relying on the work of an AI evaluator to ensure that the transcription is up to par and as correct as possible. I look forward to participating in this study again, and hopefully I can continue to monitor the progress of this transcription program and offer feedback for your development process!""}",6283f8c5dc230fe36cecf6aa,1
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}","{""political"": null}",6392555a9838cc65a9c829ef,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}","{""political"": null}",5d54d5d907e8740018e56545,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": ""unknown"", ""SPEAKER_00"": ""Jon Favreau"", ""SPEAKER_03"": ""unknown"", ""SPEAKER_04"": ""unknown"", ""SPEAKER_01"": ""Dan Pfeifer""}","{""political"": null}",5d58d7d6280de7001aa7952a,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}","{""political"": null}",61084d5606f7f1e9239785a2,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": ""Dara Lind"", ""SPEAKER_00"": ""Jon Favreau "", ""SPEAKER_03"": ""Donald Trump"", ""SPEAKER_04"": ""Kaitlin Collins"", ""SPEAKER_01"": ""Dan Pfeiffer ""}","{""political"": null}",63251e479509813fab713ad2,1
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}",,James,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}",,Kimberly,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}","{""political"": null}",5ee09c1a0c2ad1027f541f53,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": ""Donald Trump"", ""SPEAKER_00"": ""Jon Favreau"", ""SPEAKER_03"": ""Kaitlan Collins"", ""SPEAKER_04"": ""Dara Lind"", ""SPEAKER_01"": ""Dan Pfeiffer""}","{""political"": null}",5c47cab451c26300012cdd41,1
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}","{""political"": null}",55132578fdf99b1b0568bdb8,0
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": ""Jon Favreau"", ""SPEAKER_00"": ""Dan Pfieffer"", ""SPEAKER_03"": ""Donald Trump"", ""SPEAKER_04"": ""Kaitlan Collins"", ""SPEAKER_01"": ""Dara Lind""}","{""political"": null, ""feedback"": ""Thank you for having me.""}",60bd4bfc88b646e72d772977,1
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": ""Jon Favreau"", ""SPEAKER_00"": ""Dan Pfeiffer"", ""SPEAKER_03"": ""Donald Trump"", ""SPEAKER_04"": ""Kaitlin Collins?"", ""SPEAKER_01"": ""Dara Lind""}","{""political"": null, ""feedback"": ""I greatly enjoyed doing this very long task! I think I might be faster at completing it if it comes up again in the future as a study for me to complete!""}",6283f8c5dc230fe36cecf6aa,1
Pod Save America,Trump’s CNN Clown Hall,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_01"": """"}",,Adam,0
Pod Save America,Democrats Go Off In An Off Year,"{""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_02"": """", ""SPEAKER_03"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Democrats Go Off In An Off Year,"{""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_02"": """", ""SPEAKER_03"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Democrats Go Off In An Off Year,"{""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_02"": """", ""SPEAKER_03"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Pod Save America,Democrats Go Off In An Off Year,"{""SPEAKER_00"": ""Jon Favreau"", ""SPEAKER_01"": ""Dan Pfeiffer"", ""SPEAKER_04"": ""Daniel Cameron"", ""SPEAKER_02"": ""Elijah Cohn"", ""SPEAKER_03"": ""Anant Shankar Osorio""}","{""political"": null}",60903d8d7b7cd7027d556ebb,1
Pod Save America,Democrats Go Off In An Off Year,"{""SPEAKER_00"": ""Jon Favreau"", ""SPEAKER_01"": ""Dan Pfeiffer"", ""SPEAKER_04"": """", ""SPEAKER_02"": """", ""SPEAKER_03"": """"}","{""political"": null}",63c7d37a9a6e45fae826e7d7,0
Pod Save America,Democrats Go Off In An Off Year,"{""SPEAKER_00"": ""Jon Favreau"", ""SPEAKER_01"": ""Dan Pfeiffer"", ""SPEAKER_04"": ""Joe Biden"", ""SPEAKER_02"": ""Elijah Cone"", ""SPEAKER_03"": ""Anat Shenker-Osorio""}","{""political"": null}",5d7bde81c7390f00169b2fdf,1
Politisk kvarter,SV beskyldes for oljekupp,"{""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_02"": """", ""SPEAKER_01"": """"}","{""political"": null}",Adam,0
