text,utt_id,seg_name,ep_name,pod_name,lang,cat,judgement,edit,agent
"De bør heller ikke ha noen smerter over medialmalhålet, et annet sted hvor de vanligvis får brudd, og du bør helst ikke ha noen smerter over basis av femtemetatars eller osnavikulare.",1887780,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"De bør heller ikke ha noen smerter over medialmalleol, et annet sted hvor de vanligvis får brudd, og du bør helst ikke ha noen smerter over basis av femtemetatars eller osnavikulare.",Håvar
"De klarer ikke helt ofte å beskrive hva som har skjedd, for kanskje det skjedde for fort, så de får såpass vondt, at det er den smerten som overdøver beskrivelsen av hva som har skjedd, men det har nok mest sannsynlig bare vært et innovasjonsskade.",1887769,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"De klarer ikke helt ofte å beskrive hva som har skjedd, for kanskje det skjedde for fort, så de får såpass vondt, at det er den smerten som overdøver beskrivelsen av hva som har skjedd, men det har nok mest sannsynlig bare vært et inversjonsskade",Håvar
"De kommer jo til å ha smerter foran på lateralmalhål, for da fester jo ATF-eligamentet, men hvis de ikke har noen smerter på baksiden av lateralmalhål, så oppretthyller du da ikke det ene kriteriet.",1887779,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"De kommer jo til å ha smerter foran på lateralmalleol, for da fester jo ATF-ligamentet, men hvis de ikke har noen smerter på baksiden av lateralmalleol, så opprettfyller du da ikke det ene kriteriet.",Håvar
"De kommer, det var enlig ikke på hvordan man gjør dette fra sykehus til sykehus, men vi følger de opp på en ortopedisk posisjon etter seks uker når de skal fjerne den ortosen, ikke sant?",1887940,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"De kommer, det var enlig ikke på hvordan man gjør dette fra sykehus til sykehus, men vi følger de opp på en ortopedisk poliklinikk etter seks uker når de skal fjerne den ortosen, ikke sant?",Håvar
De ståler ikke på ankeren.,1887901,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,De ståler ikke på ankelen.,Håvar
"Den ene er kanskje måten det telles på, og den andre er jo det faktum at den ofte havner i sånne hematologipakker som både leger utenfor og innenfor sykehus rekreerer med relativt lavt bevissthetsnivå.",2190991,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,"Den ene er kanskje måten det telles på, og den andre er jo det faktum at den ofte havner i sånne hematologipakker som både leger utenfor og innenfor sykehus rekvirerer med relativt lavt bevissthetsnivå.",Håvar
"Der er det beskrevet med videoer og beskrivelser, veldig bra hvordan man kan drive behandling og rehabilitering av masse forskjellig skade, men også inversjonsovertrykk eller overtrykk.",1887790,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Der er det beskrevet med videoer og beskrivelser, veldig bra hvordan man kan drive behandling og rehabilitering av masse forskjellig skade, men også inversjonsovertråkk eller overtråkk.",Håvar
"Det blir selvfølgelig da også utført når det kommer til en ortopedisk avdeling, til en ortoped som vurderer fanklystepide, for å kjenne etter om det er noe åpenbart, økt bevegelse av talus og samlingene, gjerne med frisk side.",1887856,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det blir selvfølgelig da også utført når det kommer til en ortopedisk avdeling, til en ortoped som vurderer ankelleddet, for å kjenne etter om det er noe åpenbart, økt bevegelse av talus og samlingene, gjerne med frisk side.",Håvar
"Det er et velkjent fenomen blant både helsepersonell og vannbefolkning, at de har gjennomført RISE.",1887771,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det er et velkjent fenomen blant både helsepersonell og vanlig befolkning, at de har gjennomført RISE.",Håvar
"Det er nok en reaksjon på at du tenker at nå må man til å reparere jernvasseprosesser, og så må man få i gang alle systemene.",2190924,Medical TR/DI/AD,409 Dette sier blodet 20 Ferritin,KVALLM,no,,Confirm Edit,"Det er nok en reaksjon på at du tenker at nå må man til å reparere en masse prosesser, og så må man få i gang alle systemene.",Håvar
"Det har vi absolutt med nyere funksjoner å gjøre, og det er indikasjonen for å ta den, altså å utrede kronisk nyårsvikt om, eller å følge en kronisk nyårsvikt om.",2190607,Medical TR/DI/AD,413 Dette sier blodet 24 Kreatinin,KVALLM,no,,Confirm Edit,"Det har vi absolutt med nyreunksjoner å gjøre, og det er indikasjonen for å ta den, altså å utrede kronisk nyresykdom om, eller å følge en kronisk nyresykdom om.",Håvar
"Det innebærer at du da palperer på lateralmalhål, altså helst på baksiden av lateralmalhål, siden det ikke er noen benlitt smerter.",1887778,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det innebærer at du da palperer på lateralmalleol, altså helst på baksiden av lateralmalleol, siden det ikke er noen benlig smerter.",Håvar
Det kan man få en mistak om.,2190950,Medical TR/DI/AD,409 Dette sier blodet 20 Ferritin,KVALLM,no,,Confirm Edit,Det kan man få en mistanke om.,Håvar
"Det kan også være sen-skader etter ankel-ligamentsskader, for eksempel oskondral lesjoner eller prøv-nesende skader.",1887959,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det kan også være sen-skader etter ankel-ligamentsskader, for eksempel oskondral lesjoner eller peroneusseneskader",Håvar
"Det kan tyde på at det er mye synd og vitt, kanskje en osteokondralskade og andre ting.",1887895,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det kan tyde på at det er mye synovitt, kanskje en osteokondralskade og andre ting.",Håvar
Det kan være gøy å følge med på.,2190781,Medical TR/DI/AD,411 Dette sier blodet 22 ALAT,KVALLM,no,,Confirm Edit,Det kan være greit å følge med på.,Håvar
Det skal man være opps på.,2190737,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,Det skal man være obs på.,Håvar
"Det som skjer er at de tråkker over og sliter etterkant med å belaste ankeren, ankeren bobler opp, og du får sånn hevelse og gjerne sånn hematom på utsiden av ankeren lateralt, rundt lateralmaliola.",1887766,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det som skjer er at de tråkker over og sliter etterkant med å belaste ankelen, ankelen hovner opp, og du får sånn hevelse og gjerne sånn hematom på utsiden av ankelen lateralt, rundt lateralmaleol.",Håvar
"Det som skjer når du tråkker over skikkelig, slik at du har en ordentlig plageflate, det er at du får mest sannsynlig en av tre ting.",1887844,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det som skjer når du tråkker over skikkelig, slik at du har en ordentlig plage fra det er at du får mest sannsynlig en av tre ting.",Håvar
"Det står B, løkosytter.",2191035,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,"Det står B, leukocytter",Håvar
"Det varierer litt fra lillest til lillest, men med tanke på ankelinstabilitet, så tror jeg det skal være tolv måneder før instabiliteten regnes som kronisk, eller at symptomene er i forverring.",1887826,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det varierer litt fra lidelse til lidelse, men med tanke på ankelinstabilitet, så tror jeg det skal være tolv måneder før instabiliteten regnes som kronisk, eller at symptomene er i forverring.",Håvar
"Det viktigste er å se og utdokke om du trenger å utrede pasienten om han har brydd, og så informere pasienten om hva dette er, samt gi dem informasjon om hvordan de kan drive egen trening av dette selv.",1887788,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Det viktigste er å se og utelukke om du trenger å utrede pasienten om han har brydd, og så informere pasienten om hva dette er, samt gi dem informasjon om hvordan de kan drive egen trening av dette selv.",Håvar
"Dette er jo sånn som det er med altstatistikk, det kommer an på hvor du legger på den linjalen.",2190531,Medical TR/DI/AD,414 Gonore og yngre kvinner,KVALLM,no,,Confirm Edit,"Dette er jo sånn som det er med all statistikk, det kommer an på hvor du legger på den linjalen.",Håvar
"Du får vedvarende smerter, og så får du vedvarende estivhet i tillegg.",1887845,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Du får vedvarende smerter, og så får du vedvarende stivhet i tillegg.",Håvar
"Du har en pasient på fastlegkontoret som har kommet inn med et kraftig overtrokk, som er tydelig hevelse og misfarging.",1887796,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Du har en pasient på fastlegkontoret som har kommet inn med et kraftig overtråkk, som er tydelig hevelse og misfarging.",Håvar
Du trenger kun å oppfylle ett av kriteriene før du skal sende pasienten til rønken.,1887798,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,Du trenger kun å oppfylle ett av kriteriene før du skal sende pasienten til røntgen,Håvar
"Eller vi vurderer om man har gjort noe dumt, altså gitt pasienten en medisin som kan gi nyårsvikt om.",2190608,Medical TR/DI/AD,413 Dette sier blodet 24 Kreatinin,KVALLM,no,,Confirm Edit,"Eller vi vurderer om man har gjort noe dumt, altså gitt pasienten en medisin som kan gi nyresykdom om.",Håvar
Nattgetensyn.,2190746,Medical TR/DI/AD,411 Dette sier blodet 22 ALAT,KVALLM,no,,Confirm Edit,Enzym,Håvar
"Er det fordi du plutselig blir akutt infeksjonssyk, og da stiger løkosyter?",2191011,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,"Er det fordi du plutselig blir akutt infeksjonssyk, og da stiger leukocytter",Håvar
Er det proffsfotball?,1887702,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,Er det proffotball?,Håvar
"For det er jo ofte en granulissytosen du er interessert i, å se på bakterieforsvaret ditt.",2191002,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,"For det er jo ofte en granulocytosen du er interessert i, å se på bakterieforsvaret ditt.",Håvar
"For eksempel palper jo benet til utspring, og hvis en av de er smertebilde, så kan det være et brudd der, og du bør ta et rønkenbild for å utelukke det.",1887799,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"For eksempel palper jo benet til utspring, og hvis en av de er smertefulle, så kan det være et brudd der, og du bør ta et røntgenbild for å utelukke det.",Håvar
før Ja I Fevn I Fevn,2190465,Medical TR/DI/AD,415 Bronkodilator responstest,KVALLM,no,,Confirm Edit,før Ja I Fev1,Håvar
"Før jeg ble overleget der og skrev ferdig doktorgranen min i protestkirurgi på Ulvås sykhus,",1887716,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Før jeg ble overleget der og skrev ferdig doktorgraden min i protestkirurgi på Ulvås sykhus,",Håvar
For man skal ikke trøye i seg en enorm mengde kjøtt.,2190615,Medical TR/DI/AD,413 Dette sier blodet 24 Kreatinin,KVALLM,no,,Confirm Edit,For man skal ikke trø i seg en enorm mengde kjøtt.,Håvar
For tolv dager siden så snakket vi om løyk og sutter med diff.,2190952,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,For tolv dager siden så snakket vi om leukocytter med diff,Håvar
"Ganske vye, normale områder.",2190684,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,Ganske vide normale områder.,Håvar
"Grunnen til at man er litt raus er at selv om indikasjonstillingen er ganske smal på en måte, spørsmål om leverskade eller leversykdom, så er den jo på en måte også veldig vi.",2190761,Medical TR/DI/AD,411 Dette sier blodet 22 ALAT,KVALLM,no,,Confirm Edit,"Grunnen til at man er litt raus er at selv om indikasjonstillingen er ganske smal på en måte, spørsmål om leverskade eller leversykdom, så er den jo på en måte også veldig vid",Håvar
"Hvis det er total avdrivning av et av ligamentene eller flere, kan man da bare bli helt bra av opptrenning, eller må man på et eller annet tidspunkt operere?",1887881,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Hvis det er total avvrivning av et av ligamentene eller flere, kan man da bare bli helt bra av opptrenning, eller må man på et eller annet tidspunkt operere?",Håvar
"Hvis du får hemmolyse, så kan allatt stike.",2190777,Medical TR/DI/AD,411 Dette sier blodet 22 ALAT,KVALLM,no,,Confirm Edit,"Hvis du får hemmolyse, så kan alat stige",Håvar
"Hvis du har en høy allatt, så er det leveren som er problemet.",2190769,Medical TR/DI/AD,411 Dette sier blodet 22 ALAT,KVALLM,no,,Confirm Edit,"Hvis du har en høy alat, så er det leveren som er problemet.",Håvar
"Hvis ikke disse musklerne er sterke nok, så vil den pasienten ha en slags ikke-stabil ankel, eller at ankeren er ikke ordentlig balansert.",1887869,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Hvis ikke disse musklerne er sterke nok, så vil den pasienten ha en slags ikke-stabil ankel, eller at ankelen er ikke ordentlig balansert.",Håvar
"Hvordan du skal undersøke anklene i akuttfase, hvordan du skal utelukke brunn, og hvordan pasienten skal følges opp etter overtråkket, og mye mer, får du svar på i ukas episode av Stetoskopet.",1887685,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Hvordan du skal undersøke anklene i akuttfase, hvordan du skal utelukke brudd, og hvordan pasienten skal følges opp etter overtråkket, og mye mer, får du svar på i ukas episode av Stetoskopet.",Håvar
I grunn til at dette er druttbort.,2190536,Medical TR/DI/AD,414 Gonore og yngre kvinner,KVALLM,no,,Confirm Edit,I grunn til at dette er dryppert,Håvar
"I tillegg til det så har du jo leddkapselen som omdanner forsiktig alle ledd, men også ankelleddet, samt et sterkt ligamentkompleks.",1887756,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"I tillegg til det så har du jo leddkapselen som omdanner forsåvidt alle ledd, men også ankelleddet, samt et sterkt ligamentkompleks.",Håvar
"Ikke det, vi skal snakke om det som er på sjetteplass, som er løyk og sutter.",2190963,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,"Ikke det, vi skal snakke om det som er på sjetteplass, som er leukocytter",Håvar
"Intern variasjonskofisient i apparatet, det skal man være opps på.",2190729,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,"Intern variasjonskofisient i apparatet, det skal man være obs på.",Håvar
Ja Uavhengig av hvor elendig spermatrien den var på forhånd,2190458,Medical TR/DI/AD,415 Bronkodilator responstest,KVALLM,no,,Confirm Edit,Ja Uavhengig av hvor elendig spirometrien din var på forhånd,Håvar
"Ja, alle går med munnen din og vasker hendene sin og dynker seg i sprit innvortes utvortes.",2190497,Medical TR/DI/AD,414 Gonore og yngre kvinner,KVALLM,no,,Confirm Edit,"Ja, alle går med munnbind og vasker hendene sin og dynker seg i sprit innvortes utvortes.",Håvar
"Ja, alt dette er feilkinder som kan gi høy verdi.",2190624,Medical TR/DI/AD,413 Dette sier blodet 24 Kreatinin,KVALLM,no,,Confirm Edit,"Ja, alt dette er feilkilder som kan gi høy verdi.",Håvar
"Ja, altså i utgangspunktet så er det sånn at isolert løyk og sutt, det er hvis man går inn og prøver å lese litt om når man skal måle den.",2190967,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,"Ja, altså i utgangspunktet så er det sånn at isolert leukocytt, det er hvis man går inn og prøver å lese litt om når man skal måle den.",Håvar
"Ja, det er et veldig godt spørsmål, men studier har faktisk vist at uavhengig av hvor skaden i ATFL, altså det fremme talet for belaget ligament, graderes vanligvis i grad 1-3, hvor 1 er litt skadet ligament til grad 3, hvor den er røket helt fullstendig.",1887882,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Ja, det er et veldig godt spørsmål, men studier har faktisk vist at uavhengig av hvor skaden i ATFL, altså det fremme talolateraleligament, graderes vanligvis i grad 1-3, hvor 1 er litt skadet ligament til grad 3, hvor den er røket helt fullstendig.",Håvar
"Ja, det må man være opps på.",2190738,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,"Ja, det må man være obs på.",Håvar
"Ja, for det må måle hvor mange sånne ikke er i hver selle.",2190663,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,"Ja, for det må måle hvor mange sånne ikke er i hver celle",Håvar
"Ja, for det som man har sett er at infeksjonssykdommer som influenser, de forsvant jo nesten i pandemitiden.",2190495,Medical TR/DI/AD,414 Gonore og yngre kvinner,KVALLM,no,,Edit,"Ja, for det som man har sett er at infeksjonssykdommer som influensaer, de forsvant jo nesten i pandemitiden.",Håvar
"Ja, hvis du er på legevagn til et fast legehondor, og pasienten kommer inn haltende med å beskrive at de har tråkket over, så er det jo lurt å undersøke den pasienten.",1887775,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Edit,"Ja, hvis du er på legevakt til et fastlegekontor, og pasienten kommer inn haltende med å beskrive at de har tråkket over, så er det jo lurt å undersøke den pasienten.",Håvar
"Ja, ja Mens nå var kraven fortsatt 400 ml den testen ville ha vært negativ Nei, topp",2190468,Medical TR/DI/AD,415 Bronkodilator responstest,KVALLM,no,,Confirm Edit,"Ja, ja Mens nå var kraven fortsatt 400 ml den testen ville ha vært negativ Nettopp",Håvar
"Ja, og da er det sånn at høy og lav, men det kan si om de er at de er vye.",2190682,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,"Ja, og da er det sånn at høy og lav, men det kan si om de er at de er vide",Håvar
"Ja, og nå er det jo morsomt, for hvis man gjør et lite tilbakeblikk i årets julekalender, så vil man finne ut at da har man snakket om hjern, og det er da helt avgjørende i hemoglobinet, for det er det som binder oksygen.",2190675,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,"Ja, og nå er det jo morsomt, for hvis man gjør et lite tilbakeblikk i årets julekalender, så vil man finne ut at da har man snakket om jern, og det er da helt avgjørende i hemoglobinet, for det er det som binder oksygen.",Håvar
"Ja, så er det sånn at løyk og sutt er isolert sett, det kan man måle ved infeksjoner, men da bør man jo ofte vurdere å ta med en diff.",2190974,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,"Ja, så er det sånn at leukocytter isolert sett, det kan man måle ved infeksjoner, men da bør man jo ofte vurdere å ta med en diff.",Håvar
"Ja, så litt nevrare område det.",2190849,Medical TR/DI/AD,410 Dette sier blodet 21 TSH,KVALLM,no,,Confirm Edit,"Ja, så litt snevrere område det.",Håvar
"Ja, som gjør at hypofysen kjenner på hvor mye fritt T4 det er, og justerer da produksjonstrøyket ut ifra det.",2190866,Medical TR/DI/AD,410 Dette sier blodet 21 TSH,KVALLM,no,,Confirm Edit,"Ja, som gjør at hypofysen kjenner på hvor mye fritt T4 det er, og justerer da produksjonstrøkket ut ifra det.",Håvar
"Ja, vi har også snakket om både B9, folsyre, og B12, kopalamin, som også er helt nødvendig for å få laget dette hemoglobinet.",2190676,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,"Ja, vi har også snakket om både B9, folsyre, og B12, kobalamin, som også er helt nødvendig for å få laget dette hemoglobinet.",Håvar
Jeg jobber som ortoped på Lovismøy Diakonale sykehus.,1887692,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,Jeg jobber som ortoped på Lovisenberg diakonale sykehus.,Håvar
Jeg vil kanskje gå sånn at jeg dedikerer denne podcasten og hele artiklet til Kjetil.,1887744,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,Jeg vil kanskje gå sånn at jeg dedikerer denne podcasten og hele artikkelen til Kjetil.,Håvar
"Jeg vil kanskje også benytte han en til å gi en liten hylles til Kjetil Våhl, som er veldig kjent innenfor ortopedien i Norge.",1887741,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Jeg vil kanskje også benytte anledningen til å gi en liten hylles til Kjetil Våhl, som er veldig kjent innenfor ortopedien i Norge.",Håvar
Gjent over kan man stole på den prøven.,2190841,Medical TR/DI/AD,410 Dette sier blodet 21 TSH,KVALLM,no,,Confirm Edit,Jevnt over kan man stole på den prøven.,Håvar
Kan ikke du låse oss gjennom?,1887751,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,Kan ikke du lose oss gjennom?,Håvar
"kanskje Nei Men nå har de kommet på at ordet var viktige likevel, og så har de kalt det responstest Respons, for det man egentlig tester er hva skjer når du gir en bronchodilator til en pasient",2190432,Medical TR/DI/AD,415 Bronkodilator responstest,KVALLM,no,,Edit,"kanskje Nei Men nå har de kommet på at ordet var viktige likevel, og så har de kalt det responstest Respons, for det man egentlig tester er hva skjer når du gir en bronchodilator til en pasient",Håvar
Kanskje vi risikoer det hver dag?,2190764,Medical TR/DI/AD,411 Dette sier blodet 22 ALAT,KVALLM,no,,Confirm Edit,Kanskje vi risikoadferd og.,Håvar
"Kirurgi innebærer selvfølgelig en viss risiko for pasienten, vanlige ting som infeksjon og blodprøv og sånne ting.",1887951,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Kirurgi innebærer selvfølgelig en viss risiko for pasienten, vanlige ting som infeksjon og blodprpåå og sånne ting.",Håvar
Hva?,2190421,Medical TR/DI/AD,415 Bronkodilator responstest,KVALLM,no,,Confirm Edit,Kvallm,Håvar
Hva?,2190582,Medical TR/DI/AD,413 Dette sier blodet 24 Kreatinin,KVALLM,no,,Confirm Edit,Kvallm,Håvar
Kvart!,2190873,Medical TR/DI/AD,409 Dette sier blodet 20 Ferritin,KVALLM,no,,Confirm Edit,Kvallm,Håvar
Kvalt!,2190951,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,Kvallm,Håvar
"Man har ikke sett at graden av skaden i fremme talet for belaget ligament kan si noe om hvor bra pasienten blir tørrskjøtt, eller hvor dårlig det blir med pasienten.",1887883,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Man har ikke sett at graden av skaden i fremre talofibularligamentet kan si noe om hvor bra pasienten blir til slutt , eller hvor dårlig det blir med pasienten.",Håvar
"Man må tenke at hvis det skjer noen ting med stoffskifte, så sier kroppen det fra.",2190860,Medical TR/DI/AD,410 Dette sier blodet 21 TSH,KVALLM,no,,Confirm Edit,"Man må tenke at hvis det skjer noen ting med stoffskifte, så sier kroppen din fra.",Håvar
"Måten du skal forholde deg til en overtrykk eller inversjonsskade av ankelen, det er at pasienten får informasjon om at de trenger å belaste ankelen, og trene bevegelsestrening og styrketrening for å få tilbake styrken og full range of motion av jankeren.",1887783,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Måten du skal forholde deg til en overtrykk eller inversjonsskade av ankelen, det er at pasienten får informasjon om at de trenger å belaste ankelen, og trene bevegelsestrening og styrketrening for å få tilbake styrken og full range of motion av ankelen",Håvar
"Men å si anta med et overtokk, det er alt fra de som bare går videre til de som faller ned fra tre meter og ikke har brudd, og har store avringer i ankelen.",1887836,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Men å si anta med et overtråkk, det er alt fra de som bare går videre til de som faller ned fra tre meter og ikke har brudd, og har store avringer i ankelen.",Håvar
